Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6497176a267bbd86645abdce,5da87d83d120450015806cc1,RETURNED,2023-06-24T16:18:59.499000Z,2023-06-24T16:27:02.587000Z,,2023-06-24T16:27:03.518000Z,,C3AXSR3J,4,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64971e4a22894402cb501392,646e2298279640dfb43a4cb1,APPROVED,2023-06-24T16:48:13.136000Z,2023-06-24T17:08:26.266000Z,2023-06-24T19:14:17.538000,2023-06-24T17:08:26.726704Z,1214,C3AXSR3J,31,English,Left-handed,40,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64971f7b8e64116f885013c5,6290d930eb8f73a88e290de6,APPROVED,2023-06-24T16:53:19.350000Z,2023-06-24T17:12:25.293000Z,2023-06-24T19:14:17.687000,2023-06-24T17:12:25.761491Z,1146,C3AXSR3J,212,English,Left-handed,27,Male,White,United States,United States,United States,English,No,Part-Time
649729f87385c2e0b7af9b2e,58eec4b09fbdde00011e95b0,APPROVED,2023-06-24T17:38:04.160000Z,2023-06-24T18:00:18.956000Z,2023-06-24T19:14:17.847000,2023-06-24T18:00:23.429403Z,1335,C3AXSR3J,1455,"English, Chinese",Left-handed,33,Male,Mixed,United Kingdom,United States,United Kingdom,English,No,Part-Time
64973ae33273aaee4375f557,62a2adb16716c2e0c8d3c07a,APPROVED,2023-06-24T18:50:11.480000Z,2023-06-24T19:17:23.705000Z,2023-06-24T19:38:31.696000,2023-06-24T19:17:24.176911Z,1633,C3AXSR3J,948,English,Left-handed,24,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
6497406b593ca162acca52d9,63d404f4eaf69448ef9e09e6,APPROVED,2023-06-24T19:13:50.816000Z,2023-06-24T19:42:19.714000Z,2023-06-25T03:22:33.974000,2023-06-24T19:42:20.179377Z,1709,C3AXSR3J,440,English,Left-handed,36,Male,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
649742c75710cb2a5375f52c,61103c2b7810420e5f23f437,APPROVED,2023-06-24T19:23:56.836000Z,2023-06-24T19:48:17.724000Z,2023-06-25T03:22:34.136000,2023-06-24T19:48:18.213300Z,1461,C3AXSR3J,582,English,Left-handed,24,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64974adfc7d4bb9deebf7d20,5f31bbe840a5c90e5a9a7b68,APPROVED,2023-06-24T19:58:28.861000Z,2023-06-24T20:05:06.228000Z,2023-06-25T03:22:34.284000,2023-06-24T20:05:06.928204Z,398,C3AXSR3J,1223,English,Ambidextrous,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6497509875b43a2cbe3450ab,5b920a69abfadc0001e7ffa9,APPROVED,2023-06-24T20:22:55.288000Z,2023-06-24T20:45:45.710000Z,2023-06-25T03:22:34.435000,2023-06-24T20:45:46.478387Z,1371,C3AXSR3J,588,English,Ambidextrous,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64977ec416f436e24113a64a,5d166f8340218700169a0814,APPROVED,2023-06-24T23:39:50.682000Z,2023-06-25T00:00:41.393000Z,2023-06-25T03:22:34.585000,2023-06-25T00:01:55.790162Z,1251,C3AXSR3J,2535,English,Left-handed,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64978b255a80eab390b0948c,6306d4da805f2e38a841c3ad,APPROVED,2023-06-25T00:32:43.906000Z,2023-06-25T01:08:44.516000Z,2023-06-25T03:22:35.176000,2023-06-25T01:08:44.991848Z,2161,C3AXSR3J,1921,English,Left-handed,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6497ae8e2041f31377c280cf,6103777b1cf4f1d223482c72,APPROVED,2023-06-25T03:06:01.037000Z,2023-06-25T03:17:08.517000Z,2023-06-25T03:22:35.317000,2023-06-25T03:17:08.979294Z,668,C3AXSR3J,80,English,Left-handed,20,Male,White,United States,United States,United States,English,No,Full-Time
6497b5cb0c1d5eb3430cb48b,6132cc58d1dcc24bcdb61606,APPROVED,2023-06-25T03:34:39.839000Z,2023-06-25T04:01:01.540000Z,2023-06-25T05:53:21.262000,2023-06-25T04:01:02.031046Z,1582,C3AXSR3J,171,English,Left-handed,26,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6497bde3bc4fd38aeffd3c74,6104f2626b46bd21f1c9a1b3,APPROVED,2023-06-25T04:09:12.524000Z,2023-06-25T04:32:25.790000Z,2023-06-25T05:53:21.411000,2023-06-25T04:32:26.205595Z,1394,C3AXSR3J,883,"English, Vietnamese",Left-handed,29,Male,Asian,United States,United States,United States,Vietnamese,DATA_EXPIRED,DATA_EXPIRED
6498325a831e515f22e891bb,62827ef2d905564e88a46d01,APPROVED,2023-06-25T12:26:11.341000Z,2023-06-25T12:49:51.497000Z,2023-06-26T14:56:25.273000,2023-06-25T12:49:52.002743Z,1421,C3AXSR3J,622,"English, French",Left-handed,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649843edb1806bdc0c3bee15,5e5c58012272eb4328419f08,APPROVED,2023-06-25T13:41:06.381000Z,2023-06-25T14:00:53.474000Z,2023-06-26T14:56:25.486000,2023-06-25T14:00:53.931348Z,1188,C3AXSR3J,174,"Hindi, English",Left-handed,22,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
6498ae3bfc0d538e95c20def,5fba91d5a2e5dda8c5977190,APPROVED,2023-06-25T21:14:35.859000Z,2023-06-25T21:37:45.943000Z,2023-06-26T14:56:25.650000,2023-06-25T21:37:46.626114Z,1391,C3AXSR3J,111,"English, Spanish",Left-handed,37,Female,White,Mexico,United States,Mexico,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6498b49dd2d46e5013319679,63db1ccde6434330f2a99d87,APPROVED,2023-06-25T21:41:59.477000Z,2023-06-25T22:22:58.058000Z,2023-06-26T14:56:25.846000,2023-06-25T22:22:58.550231Z,2459,C3AXSR3J,125,English,Ambidextrous,37,Female,Black,United States,United States,United States,English,No,Due to start a new job within the next month
6498bb6305dfe18ef6fdff5b,628419137c4c3ded72e4874d,APPROVED,2023-06-25T22:10:47.074000Z,2023-06-25T22:30:45.322000Z,2023-06-26T14:56:26.532000,2023-06-25T22:30:46.020359Z,1199,C3AXSR3J,215,English,Left-handed,22,Male,White,United States,United States,United States,English,Yes,Part-Time
649907cd72d0b9422f26b148,6469af575bcebf3f7e552039,APPROVED,2023-06-26T03:36:49.393000Z,2023-06-26T03:59:43.810000Z,2023-06-26T14:56:26.787000,2023-06-26T03:59:44.313747Z,1375,C3AXSR3J,178,English,Left-handed,31,Male,White,Pakistan,United States,United States,English,No,Full-Time
649993151c4057491bd621ef,640b816df86dcee615619d0d,APPROVED,2023-06-26T13:31:10.549000Z,2023-06-26T14:24:03.651000Z,2023-06-26T14:56:26.989000,2023-06-26T14:24:04.101954Z,3174,C3AXSR3J,424,English,Ambidextrous,21,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
6499b1553ff3110f1fc9eac2,6491d720871d9f5e16eafb93,APPROVED,2023-06-26T15:40:09.024000Z,2023-06-26T15:59:53.222000Z,2023-06-26T16:21:07.511000,2023-06-26T15:59:53.717944Z,1185,C3AXSR3J,11,English,Ambidextrous,19,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6499da6353279ed1680561ca,5b6c312fa1fda800015fe165,APPROVED,2023-06-26T18:35:20.178000Z,2023-06-26T18:57:22.300000Z,2023-06-26T19:38:53.884000,2023-06-26T18:57:23.067300Z,1323,C3AXSR3J,1493,English,Left-handed,33,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6499ddf35e6c6bc69fe95983,6168ace1ef0f716f56f08f5b,APPROVED,2023-06-26T18:50:33.250000Z,2023-06-26T19:20:39.012000Z,2023-06-26T19:38:54.025000,2023-06-26T19:20:39.551505Z,1806,C3AXSR3J,1179,English,Left-handed,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6499e0b46eebfebae1a10957,62867b51e71606f873d41b05,APPROVED,2023-06-26T19:02:29.468000Z,2023-06-26T19:29:55.087000Z,2023-06-26T19:38:54.179000,2023-06-26T19:29:55.614339Z,1646,C3AXSR3J,1267,English,Left-handed,36,Male,White,United States,United States,United States,English,No,Full-Time
